Football_count,date
4,2019-02-01
17,2019-03-01
3,2019-04-01
30,2019-05-01
2,2019-06-01
69,2019-09-01
13,2019-11-01
85,2019-12-01
15,2019-02-02
91,2019-03-02
4,2019-04-02
2,2019-05-02
48,2019-06-02
29,2019-08-02
2,2019-09-02
5,2019-10-02
88,2019-11-02
2,2019-12-02
5,2019-02-03
40,2019-03-03
8,2019-04-03
25,2019-05-03
68,2019-08-03
17,2019-10-03
94,2019-11-03
1,2019-12-03
2,2019-02-04
3,2019-03-04
5,2019-04-04
87,2019-05-04
59,2019-08-04
2,2019-09-04
12,2019-10-04
3,2019-11-04
2,2019-12-04
4,2019-02-05
25,2019-04-05
83,2019-05-05
1,2019-06-05
2,2019-08-05
70,2019-10-05
1,2019-12-05
4,2019-02-06
1,2019-03-06
89,2019-04-06
4,2019-05-06
6,2019-08-06
14,2019-09-06
74,2019-10-06
13,2019-12-06
73,2019-04-07
2,2019-05-07
1,2019-06-07
11,2019-08-07
65,2019-09-07
3,2019-10-07
72,2019-12-07
6,2019-02-08
22,2019-03-08
2,2019-04-08
11,2019-05-08
9,2019-06-08
62,2019-09-08
20,2019-11-08
62,2019-12-08
17,2019-02-09
93,2019-03-09
4,2019-04-09
8,2019-06-09
18,2019-08-09
92,2019-11-09
2,2019-12-09
28,2019-02-10
57,2019-03-10
15,2019-04-10
19,2019-05-10
6,2019-06-10
78,2019-08-10
1,2019-10-10
75,2019-11-10
2,2019-02-11
2,2019-03-11
95,2019-05-11
2,2019-07-11
66,2019-08-11
3,2019-09-11
10,2019-10-11
2,2019-11-11
1,2019-12-11
1,2019-02-12
14,2019-03-12
16,2019-04-12
89,2019-05-12
1,2019-06-12
5,2019-07-12
4,2019-08-12
64,2019-10-12
4,2019-01-13
14,2019-03-13
102,2019-04-13
10,2019-07-13
9,2019-08-13
23,2019-09-13
63,2019-10-13
1,2019-11-13
9,2019-12-13
83,2019-04-14
6,2019-05-14
4,2019-07-14
21,2019-08-14
103,2019-09-14
1,2019-10-14
34,2019-12-14
11,2019-02-15
8,2019-03-15
3,2019-04-15
15,2019-05-15
1,2019-07-15
1,2019-08-15
81,2019-09-15
12,2019-11-15
24,2019-12-15
47,2019-02-16
66,2019-03-16
4,2019-04-16
1,2019-05-16
9,2019-06-16
35,2019-08-16
2,2019-09-16
4,2019-10-16
62,2019-11-16
2,2019-12-16
51,2019-02-17
74,2019-03-17
5,2019-04-17
18,2019-05-17
8,2019-07-17
92,2019-08-17
1,2019-09-17
52,2019-11-17
4,2019-12-17
1,2019-01-18
3,2019-02-18
3,2019-03-18
41,2019-04-18
117,2019-05-18
70,2019-08-18
2,2019-09-18
17,2019-10-18
5,2019-12-18
6,2019-01-19
2,2019-04-19
62,2019-05-19
7,2019-07-19
2,2019-08-19
93,2019-10-19
2,2019-11-19
2,2019-01-20
1,2019-02-20
1,2019-03-20
71,2019-04-20
12,2019-05-20
22,2019-07-20
1,2019-08-20
30,2019-09-20
86,2019-10-20
3,2019-11-20
4,2019-12-20
1,2019-02-21
24,2019-04-21
6,2019-07-21
19,2019-08-21
93,2019-09-21
3,2019-10-21
17,2019-12-21
11,2019-02-22
18,2019-03-22
46,2019-04-22
10,2019-05-22
1,2019-07-22
1,2019-08-22
82,2019-09-22
2,2019-10-22
20,2019-11-22
8,2019-12-22
74,2019-02-23
77,2019-03-23
2,2019-04-23
8,2019-07-23
28,2019-08-23
3,2019-09-23
5,2019-10-23
114,2019-11-23
74,2019-02-24
76,2019-03-24
5,2019-04-24
4,2019-05-24
8,2019-07-24
83,2019-08-24
1,2019-09-24
38,2019-11-24
2,2019-01-25
3,2019-02-25
2,2019-03-25
11,2019-05-25
91,2019-08-25
3,2019-09-25
22,2019-10-25
3,2019-11-25
11,2019-01-26
1,2019-02-26
2,2019-03-26
24,2019-04-26
25,2019-05-26
19,2019-07-26
2,2019-08-26
100,2019-10-26
4,2019-01-27
3,2019-02-27
11,2019-03-27
88,2019-04-27
51,2019-07-27
2,2019-08-27
28,2019-09-27
84,2019-10-27
3,2019-11-27
87,2019-04-28
18,2019-07-28
11,2019-08-28
100,2019-09-28
3,2019-10-28
4,2019-01-29
18,2019-03-29
3,2019-04-29
2,2019-07-29
75,2019-09-29
9,2019-10-29
17,2019-11-29
4,2019-01-30
93,2019-03-30
5,2019-04-30
7,2019-05-30
8,2019-07-30
24,2019-08-30
2,2019-09-30
13,2019-10-30
94,2019-11-30
1,2019-01-31
80,2019-03-31
16,2019-07-31
92,2019-08-31
20,2019-10-31
