Bundesliga,2.Bundesliga,3.liga,date
9,,10,2019-05-18
8,,10,2019-05-11
6,3,6,2019-12-07
6,3,6,2019-10-19
6,,,2019-01-19
6,3,6,2019-09-28
6,3,6,2019-03-30
6,3,6,2019-04-27
6,4,6,2019-12-21
6,,5,2019-01-26
6,3,6,2019-03-02
6,3,6,2019-09-14
6,3,6,2019-11-02
6,3,6,2019-10-26
6,3,6,2019-04-06
6,3,6,2019-02-02
6,3,6,2019-12-14
6,3,5,2019-08-31
6,3,6,2019-08-24
6,3,6,2019-11-23
6,3,6,2019-08-17
6,4,7,2019-04-20
6,3,6,2019-02-09
5,3,6,2019-10-05
5,3,6,2019-11-09
5,4,7,2019-03-09
5,3,6,2019-03-16
5,3,6,2019-05-04
5,4,6,2019-02-16
5,4,6,2019-09-21
5,3,6,2019-04-13
5,,,2019-12-18
5,4,6,2019-02-23
5,4,6,2019-11-30
4,,,2019-12-17
3,3,2,2019-04-14
3,3,2,2019-11-10
3,3,2,2019-10-06
3,3,2,2019-05-05
3,2,2,2019-03-17
2,2,2,2019-03-10
2,3,2,2019-12-01
2,,2,2019-01-27
2,3,2,2019-03-03
2,3,2,2019-09-15
2,3,2,2019-10-20
2,3,2,2019-02-17
2,3,2,2019-03-31
2,3,2,2019-11-24
2,3,2,2019-08-25
2,3,2,2019-09-22
2,3,2,2019-09-01
2,3,2,2019-09-29
2,3,2,2019-04-07
2,3,3,2019-12-22
2,3,2,2019-02-24
2,3,2,2019-04-28
2,3,2,2019-12-08
2,,,2019-01-20
2,5,2,2019-04-21
2,3,2,2019-10-27
2,2,1,2019-02-03
2,3,2,2019-12-15
2,3,2,2019-02-10
2,3,2,2019-08-18
2,3,2,2019-11-03
1,2,1,2019-04-12
1,2,1,2019-12-20
1,2,1,2019-09-27
1,,1,2019-01-25
1,2,1,2019-08-16
1,2,1,2019-12-13
1,2,1,2019-11-08
1,2,1,2019-05-03
1,2,1,2019-02-08
1,2,1,2019-10-04
1,2,1,2019-08-30
1,2,1,2019-04-26
1,2,1,2019-04-05
1,2,1,2019-03-08
1,,1,2019-09-23
1,2,1,2019-10-25
1,2,1,2019-12-06
1,2,1,2019-03-01
1,2,1,2019-09-20
1,2,1,2019-11-29
1,2,1,2019-03-29
1,,1,2019-12-02
1,,1,2019-02-18
1,2,1,2019-03-15
1,,1,2019-02-25
1,2,1,2019-02-22
1,,,2019-01-18
1,2,1,2019-11-22
1,2,1,2019-08-23
1,9,,2019-05-12
1,2,1,2019-11-01
1,2,1,2019-02-15
1,2,1,2019-02-01
1,2,1,2019-10-18
1,,,2019-03-11
1,,1,2019-04-22
1,2,1,2019-09-13
,9,,2019-05-19
,4,,2019-01-30
,4,,2019-01-29
,4,2,2019-07-28
,3,2,2019-08-04
,3,1,2019-08-02
,3,7,2019-07-27
,2,6,2019-08-03
,1,1,2019-09-16
,1,,2019-04-04
,1,1,2019-03-18
,1,,2019-04-10
,1,1,2019-11-25
,1,1,2019-11-11
,1,1,2019-12-16
,1,1,2019-10-21
,1,1,2019-02-11
,1,1,2019-04-29
,1,,2019-07-29
,1,1,2019-07-26
,1,1,2019-05-06
,1,1,2019-11-04
,1,1,2019-04-15
,1,1,2019-08-19
,1,1,2019-02-27
,1,,2019-01-31
,1,1,2019-10-07
,1,1,2019-08-26
,1,1,2019-04-01
,1,1,2019-04-08
,1,1,2019-03-04
,1,1,2019-02-04
,1,1,2019-12-09
,1,1,2019-08-05
,1,1,2019-10-28
,1,1,2019-09-30
,1,1,2019-09-02
,,6,2019-03-23
,,6,2019-07-20
,,5,2019-07-31
,,5,2019-03-13
,,5,2019-03-12
,,5,2019-07-30
,,2,2019-07-21
,,2,2019-03-24
,,1,2019-03-25
,,1,2019-03-20
,,1,2019-10-02
,,1,2019-03-22
,,1,2019-07-22
,,1,2019-02-12
,,1,2019-07-19
